item_id,is_regular_item,target_quantity,priority
milk,true,2,critical
yogurt,true,6,normal
eggs,true,1,normal
bread,true,2,critical
rice,true,2,normal
pasta,true,3,normal
tomatoes,true,1.5,normal
cucumbers,true,1.5,normal
chicken,true,2,normal
coffee,true,2,normal
olive_oil,true,1,normal
cat_food,true,1,critical
bananas,true,1.5,normal
apples,true,1.5,normal
potatoes,true,2.0,normal
onions,true,1.0,normal
cheese,true,1.0,normal
cereal,true,1.5,normal
flour,true,1.0,normal
tuna,true,2.0,normal
frozen_vegetables,true,2.0,normal
toilet_paper,true,2.0,critical
dish_soap,true,1.0,normal
laundry_detergent,true,1.0,normal
